1;Podaj najwa?niejsze potrzeby konia wynikaj?ce z jego natury.;Ko? jest zwierz?ciem stepowym, wi??e si? z tym: potrzeba ruchu, cz?ste pobieranie niewielkich porcji paszy, potrzeby w zakresie ?wiat?a, powietrza i temperatury.
2;Czy konie w naturalnych warunkach ?yj? samotnie czy w stadach?;Konie s? zwierz?tami stadnymi, ?yj?cymi w naturalnych warunkach w grupach o ?ci?le ustalonej hierarchii spo?ecznej.
3;Jakie cechy posiada ko? jako zwierz? stadne?;Konie maj? potrzeb? przebywania w grupie i tylko kontakt z innymi ko?mi mo?e im zapewni? prawid?owy rozw¢j i r¢wnowag? psychiczn?. W grupie panuje ?ci?le okre?lona hierarchia. Udomowiony ko? traktuje cz?owieka jako cz?onka swego stada. Istotne jest, by dzi?ki umiej?tnemu post?powaniu cz?owieka ko? zaakceptowa? go jako przewodnika.
4;W jaki spos¢b cz?owiek powinien zapewni? koniowi wystarczaj?c? ilo?? ruchu?;W naturalnych warunkach ko? stale przemieszcza si? w poszukiwaniu paszy. Aby zapewni? koniowi zdrowie fizyczne i r¢wnowag? psychiczn? nale?y codziennie zapewni? mu wystarczaj?c? ilo?? ruchu poprzez regularne wykorzystywanie do pracy pod siod?em lub w zaprz?gu, codzienny pobyt na pastwisku lub wybiegu, a tak?e ograniczenie liczby dni bez pracy.
5;Dlaczego konie s? p?ochliwe?;Ko? jako ro?lino?erca mo?e ratowa? si? przed niebezpiecze?stwem w naturalnych warunkach jedynie ucieczk?, a czujno?? i umiej?tno?? szybkiej reakcji na zagro?enie decyduje o przetrwaniu gatunku. Dlatego nawet udomowione konie s? p?ochliwe. Cecha ta zosta?a odziedziczona po przodkach ?yj?cych w stepie.
6;Co mo?na wyczyta? z oczu konia?;Oczy konia wyra?aj? nastr¢j i uczucia zwierz?cia. Z ich wyrazu mo?na odczyta? uwag?, zr¢wnowa?enie, strach, agresj? i b¢l.
7;Co oznaczaj? uszy konia po?o?one p?asko wzd?u? potylicy?;Stulone, p?asko po?o?one wzd?u? potylicy uszy konia wyra?aj? gotowo?? do ataku lub obrony i s? sygna?em ostrzegawczym.
8;Jak ustawione s? uszy konia przyja?nie nastawionego do otoczenia?;Taki nastr¢j konia mo?emy pozna? po uszach spokojnie ustawionych do przodu.
9;Czego objawem s? zwisaj?ce uszy u konia?;Zwisaj?ce uszy s? objawem zrelaksowania, senno?ci i apatii.
10;Opisz objawy agresji u konia.;Objawami agresji u konia s? z?e, b?yskaj?ce bia?kiem oczy, stulone, po?o?one p?asko do ty?u uszy, pokazane z?by, kwiczenie, wspinanie si?, gwa?towne odwr¢cenie si? zadem.
11;Opisz objawy zadowolenia i zainteresowania konia;Objawami zadowolenia i zainteresowania konia s? nastawione uszy, spokojne, przyjazne oczy, naturalnie rozlu?nione wargi, lekko ko?ysz?cy si?, rozlu?niony ogon, r¢wny elastyczny ruch.
12;Opisz objawy apatii u konia;Objawami apatii u konia s? obwis?e uszy, opuszczona g?owa, obwis?e wargi.
13;Co mog? oznacza? d?wi?ki wydawane przez konia?;G?os konia mo?e wyra?a? jego nastawienie do wsp¢?towarzyszy ze stada ? pozdrowienie, nawo?ywanie, ostrze?enie, niezadowolenie, a tak?e mo?e wyra?a? nastr¢j i samopoczucie konia.
14;Co oznacza kwik konia, a co wyra?a ko? r?eniem?;Ko? kwikiem wyra?a swoje niezadowolenie, a cz?sto ostrzega w ten spos¢b o zamierzonym ataku. R?enie oznacza przywitanie i nawi?zanie kontaktu z innym koniem lub cz?owiekiem.
15;Co mo?e oznacza?, gdy ko? odwraca si? do nas zadem?;Oznacza to brak zainteresowania, ale r¢wnie? przygotowanie do obrony i ch?? pozbycia si? nas ze swego najbli?szego otoczenia.
16;Opisz pole widzenia konia.;Oczy konia umieszczone s? z boku g?owy. Dlatego widzi on prawie wszystko z ty?u i z boku, ale obraz jest p?aski i nieostry. Ostry i przestrzenny obraz jest w w?skim tr¢jk?cie przed g?ow?.
17;Dlaczego umiej?tno?? obserwacji konia jest wa?na dla bezpiecze?stwa je?d?ca?;Ko? swoim zachowaniem cz?sto zdradza sw¢j nastr¢j i zamiary wobec otoczenia, w zwi?zku z czym je?dziec powinien dostrzega? i rozumie? znaki, kt¢rymi ko? ostrzega np. o zamiarze ataku.
18;Co to jest martwe pole widzenia konia?;Martwe pole widzenia konia to obszar wok¢? jego cia?a, w kt¢rym ko? nie dostrzega znajduj?cych si? w nim os¢b i przedmiot¢w.
